iter	Passed	Remaining
616	1279	794
617	1281	791
618	1283	789
619	1285	787
620	1286	785
621	1288	783
622	1291	781
623	1293	779
624	1295	777
625	1297	775
626	1299	773
627	1301	770
628	1302	768
629	1304	766
630	1306	764
631	1309	762
632	1311	760
633	1313	758
634	1315	756
635	1317	753
636	1318	751
637	1320	749
638	1323	747
639	1325	745
640	1327	743
641	1329	741
642	1331	739
643	1333	737
644	1335	735
645	1337	733
646	1339	731
647	1341	728
648	1343	726
649	1345	724
650	1346	722
651	1348	719
652	1349	717
653	1352	715
654	1354	713
655	1355	710
656	1357	708
657	1359	706
658	1360	704
659	1362	701
660	1364	699
661	1366	697
662	1368	695
663	1370	693
664	1371	691
665	1373	689
666	1376	686
667	1378	684
668	1379	682
669	1381	680
670	1384	678
671	1386	676
672	1387	674
673	1389	672
674	1391	670
675	1393	667
676	1395	665
677	1397	663
678	1399	661
679	1401	659
680	1402	657
681	1404	654
682	1406	652
683	1407	650
684	1408	647
685	1410	645
686	1412	643
687	1414	641
688	1416	639
689	1418	637
690	1420	635
691	1422	632
692	1424	630
693	1426	628
694	1427	626
695	1429	624
696	1431	622
697	1433	620
698	1435	618
699	1437	616
700	1439	614
701	1441	611
702	1443	609
703	1444	607
704	1447	605
705	1449	603
706	1451	601
707	1453	599
708	1454	596
709	1456	594
710	1457	592
711	1459	590
712	1460	587
713	1462	585
714	1464	583
715	1466	581
716	1467	579
717	1468	576
718	1470	574
719	1472	572
720	1473	570
721	1474	567
722	1476	565
723	1478	563
724	1480	561
725	1482	559
726	1483	557
727	1484	554
728	1486	552
729	1488	550
730	1490	548
731	1491	546
732	1493	544
733	1495	542
734	1497	539
735	1498	537
736	1500	535
737	1502	533
738	1503	530
739	1504	528
740	1505	526
741	1507	524
742	1510	522
743	1512	520
744	1513	518
745	1515	515
746	1516	513
747	1518	511
748	1519	509
749	1520	506
750	1522	504
751	1524	502
752	1526	500
753	1528	498
754	1530	496
755	1533	494
756	1535	492
757	1537	490
758	1540	489
759	1544	487
760	1546	485
761	1549	483
762	1551	481
763	1554	480
764	1556	478
765	1559	476
766	1561	474
767	1563	472
768	1565	470
769	1567	468
770	1569	466
771	1571	464
772	1573	462
773	1575	460
774	1577	458
775	1579	456
776	1582	454
777	1584	452
778	1586	450
779	1589	448
780	1592	446
781	1594	444
782	1596	442
783	1598	440
784	1601	438
785	1603	436
786	1606	434
787	1608	432
788	1611	430
789	1613	428
790	1615	426
791	1617	424
792	1619	422
793	1622	420
794	1624	418
795	1626	416
796	1628	414
797	1630	412
798	1632	410
799	1634	408
800	1636	406
801	1639	404
802	1641	402
803	1643	400
804	1645	398
805	1647	396
806	1649	394
807	1651	392
808	1654	390
809	1656	388
810	1658	386
811	1660	384
812	1662	382
